FeatureType,date,ShipsInvolved,deaths,missings,severeInjuries,description,latitude,longitude,subtype_field,subtype_value,gml_pos
FloodingAndSinking,20220609,HENRIETTE SAND (IMO 7829235),0.0,,0.0,Excavator punctured ship's side causing sinking.,56.535,10.7214,floodingAndSinkingType,sinking,10.7214 56.5350
FireAndExplosion,20220608,DUMAI LINE 5 (IMO 9785213),,,,Ship caught fire and sank after an explosion in the luggage compartment.,1.1197,103.9272,fireAndExplosionType,fire,103.9272 1.1197
FireAndExplosion,20220605,Kiran Anatolia (IMO 9650171),1.0,,0.0,A fire incident resulted in the fatality of a deck fitter during hot work on hydraulic oil pipes.,31.5528,29.8692,fireAndExplosionType,fire,29.8692 31.5528
OtherIncident,20220602,TORO (IMO 9208124),,,,"Crew members found unconscious in enclosed space, resulting in fatalities.",24.4194,36.6083,otherIncidentType,safety hindrance and near misses,36.6083 24.4194
OtherIncident,20220529,HENDRIKA JACOBA (IMO 9877389),1.0,,0.0,A deckhand fell into the sea and was found deceased hours later.,56.7017,8.2275,otherIncidentType,safety hindrance and near misses,8.2275 56.7017
FloodingAndSinking,20220527,CETUS (IMO 8108949),,,,"Ship sank in Caribbean Sea, crew rescued by passing vessels, master died of heart attack.",14.7414,-70.5156,floodingAndSinkingType,sinking,-70.5156 14.7414
OtherIncident,20220526,OPALINE (IMO 9424869),0.0,,1.0,Crew member fell from a basket during maintenance tasks.,51.9072,4.2414,otherIncidentType,safety hindrance and near misses,4.2414 51.9072
StrandingAndGrounding,20220519,RENILDE (-),0.0,,0.0,Fishing vessel grounded near the shore due to navigational issues and engine alarm.,51.1786,2.7728,strandingAndGroundingType,grounding,2.7728 51.1786
FireAndExplosion,20220510,AKUA (IMO 8826369),,,,Ship caught fire on the bridge resulting in damage and one fatality.,45.35,37.3322,fireAndExplosionType,fire,37.3322 45.3500
CollisionAndContact,20220428,INDIANA JONES (IMO 8806149),0.0,,0.0,Vessel contacted Fish Cave nets while maneuvering to avoid collision.,34.7358,34.2842,collisionAndContactType,contact,34.2842 34.7358
FloodingAndSinking,20220423,ALBATROS (IMO 8978992),,,,"Ship sank while moored, minor oil pollution reported, crew rescued with no injuries.",-0.75,-90.305,floodingAndSinkingType,sinking,-90.3050 -0.7500
FireAndExplosion,20220420,NCC SAFA (IMO 9411329),,,,"The ship sustained an explosion while anchored in the North Sea, resulting in casualties.",52.5172,4.3042,fireAndExplosionType,explosion,4.3042 52.5172
FireAndExplosion,20220419,TRUONG NGUYEN 68 (IMO 8667256),,,,Explosion during repairs in shipyard resulted in serious damage to aft holds.,20.9433,106.6006,fireAndExplosionType,explosion,106.6006 20.9433
FireAndExplosion,20220417,GENERAL ROMULO (IMO 9160499),,,,"Ship caught fire and sustained explosion in the aft section while anchored in Cebu strait, resulting in casualties and damage.",10.2153,123.8192,fireAndExplosionType,fire,123.8192 10.2153
FireAndExplosion,20220416,CHUANG YI (IMO 9196656),,,,"Ship sustained explosion and fire from generator, resulting in casualties and aerial rescue operation.",21.6736,117.1419,fireAndExplosionType,fire,117.1419 21.6736
FireAndExplosion,20220416,CMA CGM Lisa Marie (IMO 9729099),0.0,,0.0,"Crew responded to a fire in cargo hold no. 3, possibly originating from a container with dyeing industry products.",6.1033,95.3167,fireAndExplosionType,fire,95.3167 6.1033
CollisionAndContact,20220407,TRUONG NGUYEN 136 (IMO 9601481),,,,The ship collided with MV 'Vinafco 28' and sank in the South China Sea.,14.5525,109.2086,collisionAndContactType,collision,109.2086 14.5525
FireAndExplosion,20220406,CMA CGM Rabelais (IMO 9406635),0.0,,1.0,"Fire broke out in a container on deck, spreading to neighboring containers with dangerous goods, causing injuries during firefighting operations.",6.3275,94.5,fireAndExplosionType,fire,94.5000 6.3275
CollisionAndContact,20220403,"ACRA (IMO 9693410), Zhong Liang Dong Nan  (IMO 9238234)",,,,"MV “ACRA” collided with MV ""ZHONG LIANG DONG NAN"" due to ineffective collision avoidance actions.",31.2214,123.2361,collisionAndContactType,collision,123.2361 31.2214
FireAndExplosion,20220402,SAIPEM FDS (IMO 9210749),1.0,,0.0,Fatality due to fire caused by sparks from nearby hot work igniting flammable liquid cleaner during routine maintenance.,34.6603,33.0408,fireAndExplosionType,fire,33.0408 34.6603
OtherIncident,20220331,Seminole (IMO 8890396),1.0,,0.0,Chief officer fell down stairs and passed away two days later.,44.1114,28.6658,otherIncidentType,safety hindrance and near misses,28.6658 44.1114
FireAndExplosion,20220329,CMA CGM TITUS (IMO 9450636),0.0,,0.0,"Fire broke out in the engine room of container ship CMA CGM TITUS, leading to extensive damages and subsequent repairs.",18.35,57.85,fireAndExplosionType,fire,57.8500 18.3500
FireAndExplosion,20220327,AMPAR 8 (IMO 8740101),,,,Ship caught fire and sustained severe damage in the bow area.,13.5697,100.5761,fireAndExplosionType,fire,100.5761 13.5697
CollisionAndContact,20220316,Stena Europe (IMO 7901760),0.0,,0.0,Two large passenger ferries engaged in a close quarter incident just outside Rosslare Harbour.,52.2914,-6.3756,collisionAndContactType,collision,-6.3756 52.2914
CollisionAndContact,20220313,INDUSTRIAL COURAGE (IMO 9810329),0.0,,0.0,MV involved in collision with Fishing Vessel with unclear identification.,-18.2,-72.2167,collisionAndContactType,collision,-72.2167 -18.2000
FireAndExplosion,20220309,SMOOTH SEA 2 (IMO 8223660),,,,"Ship caught fire and exploded at the tanker berth, resulting in injuries and serious damage to the upper deck.",13.6408,100.5333,fireAndExplosionType,explosion,100.5333 13.6408
OtherIncident,20220306,TITRAN (IMO 9100188),1.0,,0.0,Crew member fell overboard during routine operation without safety measures in place.,66.4497,12.9972,otherIncidentType,safety hindrance and near misses,12.9972 66.4497
HullAndEngineAccessoryDamage,20220223,Pearl LNG (IMO 9862346),0.0,,3.0,Crew members involved in accident during inspection cover removal on hydrophore.,46.9081,-6.6886,hullAndEngineAccessoryDamageType,outfit damage,-6.6886 46.9081
FloodingAndSinking,20220223,VANDON ACE (IMO 8919958),,,,The ship sank in the South China Sea after sustaining main engine failure and developing a 15-degree list.,8.9894,109.4411,floodingAndSinkingType,sinking,109.4411 8.9894
StrandingAndGrounding,20220219,SCORPIO HONOR (IMO 9488580),,,,"Vessel grounded in Berong Channel, Philippines, sustaining significant hull damage.",9.56,117.9722,strandingAndGroundingType,grounding,117.9722 9.5600
FireAndExplosion,20220218,EUROFERRY OLYMPIA (IMO 9010175),,,,"Ship caught fire, leading to evacuation and casualties.",39.96,19.6178,fireAndExplosionType,fire,19.6178 39.9600
FireAndExplosion,20220216,FELICITY ACE (IMO 9293911),,,,"Ship caught fire on vehicle deck, leading to evacuation and eventual sinking.",37.4917,-30.27,fireAndExplosionType,fire,-30.2700 37.4917
OtherIncident,20220216,DANMARK (IMO 5086279),1.0,,0.0,Fatal accident involving an able seaman during rigging maintenance.,55.2708,9.89,otherIncidentType,safety hindrance and near misses,9.8900 55.2708
OtherIncident,20220210,YM MATURITY (IMO 9438535),,,,Elevator accident resulting in crew fatality.,13.2217,121.4889,otherIncidentType,safety hindrance and near misses,121.4889 13.2217
FloodingAndSinking,20220203,"BIENVENUE (-), MYLANOH (-)",0.0,,0.0,Fishing boat caught fishing gear cables of capsized dredger boat.,49.5942,-0.1811,floodingAndSinkingType,capsizing,-0.1811 49.5942
StrandingAndGrounding,20220203,TRESTA STAR (IMO 9869629),0.0,,0.0,"Ship stranded on rocky shore, sustained hull damage and took on water, leading to oil slick.",-21.2894,55.8075,strandingAndGroundingType,grounding,55.8075 -21.2894
OtherIncident,20220129,MATHILDE OLDENDORFF (IMO 9678800),,,,Fatal fall of Chief Officer during draft reading operation without safety gear at Tianjin port.,38.9222,117.6858,otherIncidentType,safety hindrance and near misses,117.6858 38.9222
OtherIncident,20220120,BRUTIMAR (IMO 9275610),1.0,,0.0,Fisherman fell overboard resulting in one fatality.,40.15,-8.865,otherIncidentType,safety hindrance and near misses,-8.8650 40.1500
FireAndExplosion,20220117,Neptune Thelisis (IMO 9306718),0.0,,0.0,A fire incident was controlled and extinguished on board the motor vessel Neptune Thelisis due to a pipe failure in the thermal oil system.,31.2889,28.8167,fireAndExplosionType,fire,28.8167 31.2889
FireAndExplosion,20220112,CONRAD OLDENDORFF (IMO 9537903),,,,"Explosion occurred during fumigation procedure, resulting in injuries and fatality.",-18.4914,161.6528,fireAndExplosionType,explosion,161.6528 -18.4914
FloodingAndSinking,20220110,BJUGNFJORD (IMO 7502021),,,,The ship sank in heavy weather with all crew rescued.,56.25,12.1167,floodingAndSinkingType,sinking,12.1167 56.2500
FloodingAndSinking,20220105,TANIMBAR BAHARI (IMO 8403117),,,,"Ship sank while arriving at Saumlaki, Indonesia in heavy weather.",-7.9667,131.2833,floodingAndSinkingType,sinking,131.2833 -7.9667
OtherIncident,20220101,MAZRA (-),0.0,,0.0,Sailor fell overboard during fishing operations.,17.7275,-62.5275,otherIncidentType,safety hindrance and near misses,-62.5275 17.7275
CollisionAndContact,20231008,ARC SEA I (-),1.0,,14.0,"Recreational craft collided with pier, resulting in fatality and injuries to crew and passengers.",37.1189,-8.5331,collisionAndContactType,collision,-8.5331 37.1189
FloodingAndSinking,20230530,LAJES DO PICO (IMO 9193410),0.0,,0.0,"Portuguese fishing vessel sank due to massive flooding, crew rescued by another vessel.",43.4086,-35.7914,floodingAndSinkingType,sinking,-35.7914 43.4086
CollisionAndContact,20230321,"DEN HOOPE (IMO 9222089), SEASONG (IMO 9290438)",0.0,,0.0,Collision between Mt SEASONG and Fv O.231-DEN HOOPE in the Channel/La Manche.,50.3219,-0.025,collisionAndContactType,collision,-0.0250 50.3219
OtherIncident,20230221,BG RUBY (IMO 9436202),1.0,,0.0,Man overboard incident resulting in fatality during cargo operations.,54.6442,-5.8933,otherIncidentType,safety hindrance and near misses,-5.8933 54.6442
FloodingAndSinking,20230220,SUPER MANGUITO (-),0.0,,0.0,Vessel experienced flooding and started to sink during a maritime excursion.,37.0836,-8.4519,floodingAndSinkingType,sinking,-8.4519 37.0836
OtherIncident,20230118,STRINDA (IMO 9330771),0.0,,1.0,Injury during lifeboat maintenance operation.,51.2875,4.2375,otherIncidentType,safety hindrance and near misses,4.2375 51.2875
